WEEK 1,April 13,April 14,April 15,April 16,April 17,April 18
Briggs #1 (SW),,,,,,"D6-3 12:30 
D3-6 3:00"
"Cascade Complex, C4",D5-1,,,,,
Holland Youth Park #5,,,D2-4,,,
Turner City Field,,D7-6,,,,D2-5
"Geer Park, Field 1 (East)",,,,,,
"Geer Park, Field 2 (West)",,,,,,
"Sprague HS, JV Field",,,,,,
Buena Vista Elementary,,,,,,
Shasta Ball Fields,,,,,,
Judson MS #1,,,,,,
Crossler MS #2,,,,,,
Crossler MS #1,,,,,,
"Cascade Complex, C2",,,,,,
Briggs #3 (NW),,,,,,
Holland Youth Park #2,,,,,,
Judson MS #2,,,,,,
Keizer Complex #5,,,,,,
Sheridan City Park,,,,,,
Walterville #2 (East),,,,,,
"Cascade Complex, C3",,,,,,
Holland Youth Park #1,,,,,,
"Silverton MS, Field S7",,,,,,
Williams Field 4,,,,,,
Keizer Complex #4,,,,,,
Mt. Angel MS #2,,,,,,
Keizer Complex #8,,,,,,
"Leslie MS, Field 1",,,,,,
"Leslie MS, Field 2",,,,,,
"Leslie MS, Field 3",,,,,,
"Leslie MS, Field 4",,,,,,
Mission Field,,,,,,
"St. Paul HS, Varsity Field",,,,,,
Walker MS #3,,,,,,
Williams Field 3,,,,,,
Moon Field,,,,,,
Mt. Angel MS #4,,,,,,
Willamina HS JV Field,,,,,,
Mark Twain Elementary,,,,,,
Sheridan HS Softball Field,,,,,,
