WEEK 3,April 27,April 28,April 29,April 30,May 1st,May 2nd
Briggs #1 (SW),,,,,,
"Cascade Complex, C4",D7-1,D4-2,,,,D5-2
Holland Youth Park #5,,,,,,
Turner City Field,,D5-6,,,D1-6,
"Geer Park, Field 1 (East)",,,,,,
"Geer Park, Field 2 (West)",,,,,,
"Sprague HS, JV Field",,,,,,
Buena Vista Elementary,C3-2,,,,,C3-4 12:30 C4-3 3:00
Shasta Ball Fields,,,C1-2,,,C1-5 12:30 C5-1 3:00
Judson MS #1,C6-4,,,,,
Crossler MS #2,B2-14,B3-13,,C5-6,,B5-12 12:30 B6-13 3:00
Crossler MS #1,,,,,,
"Cascade Complex, C2",B9-1,B12-4,B10-1,B6-4,,
Briggs #3 (NW),,A2-4,A1-3,,,A10-3 12:30 A12-4 3:00
Holland Youth Park #2,A14-6,B2-8,B12-7,B3-7,,A1-7 12:30 A2-8 3:00
Judson MS #2,A9-13,B14-11,A8-10,B9-11,A9-11,A6-13
Keizer Complex #5,B8-5,,,,A12-5,
Sheridan City Park,A7-14,A5-15,,A11-15,,
Walterville #2 (East),,,,,,
"Cascade Complex, C3",,,G8-1,H3-1,,
Holland Youth Park #1,E5-1,G3-7,E6-2,E7-1,G14-7,
"Silverton MS, Field S7",G13-9,H2-5,G2-6,G2-9,H4-6,G10-6
Williams Field 4,H1-3,,,H5-2,,
Keizer Complex #4,G1-5,H6-4,G3-5,,,
Mt. Angel MS #2,,,,,,
Keizer Complex #8,F14-5,F15-6,F9-4,,,
"Leslie MS, Field 1",G8-12,G14-11,E8-7,E4-5,E8-6,
"Leslie MS, Field 2",,,,,,
"Leslie MS, Field 3",F3-12,F4-13,,,F15-16,
"Leslie MS, Field 4",,,,,,
Mission Field,,,,,,
"St. Paul HS, Varsity Field",,,E3-9,F14-17,,G9-12 12:30 G12-9 3:00
Walker MS #3,,,G11-13,,,F10-19
Williams Field 3,,F8-1,,,F12-2,F9-1
Moon Field,F17-10,F2-11,,F3-11,,
Mt. Angel MS #4,F16-7,,F6-7,,F5-8,
Willamina HS JV Field,F19-18,,,F12-18,,
Mark Twain Elementary,E9-3,E10-4,,,,
Sheridan HS Softball Field,,,,E2-10,,
