WEEK 7,May 25,May 26,May 27,May 28,May 29,May 30
Briggs #1 (SW),,,,,,D5-3 12:30 D3-5 3:00
"Cascade Complex, C4",,,,,,
Holland Youth Park #5,,D1-4,,,,
Turner City Field,,D2-6,,,,D4-6
"Geer Park, Field 1 (East)",,,,D2-7,,
"Geer Park, Field 2 (West)",,,,,,
"Sprague HS, JV Field",,,,,,
Buena Vista Elementary,,,,C3-1,,
Shasta Ball Fields,,C2-3,,,C1-2,
Judson MS #1,,,,,C6-4,
Crossler MS #2,,B10-12,C4-5,B3-14,B12-13,
Crossler MS #1,,,,,,
"Cascade Complex, C2",,B14-1,,B7-4,,B5-2
Briggs #3 (NW),,A1-2,,A3-4,,A14-4 12:30 A13-3 12:30
Holland Youth Park #2,,A10-6,A13-7,B13-8,B6-8,A12-9 12:30 A5-6 3:00
Judson MS #2,,B2-11,B3-9,A8-11,B4-9,A 1-10 9:00 A2-11 12:30 B5-10 3:00
Keizer Complex #5,,,B1-6,,A7-5,
Sheridan City Park,,A8-15,A12-14,A9-15,,
Walterville #2 (East),,,,,,
"Cascade Complex, C3",,,,,,
Holland Youth Park #1,,G1-7,E6-1,E5-2,G12-7,
"Silverton MS, Field S7",,G2-8,G4-9,G6-8,H1-6,H4-5
Williams Field 4,,H3-2,H5-2,H6-3,,
Keizer Complex #4,,H5-4,,H1-4,,G4-5 12:30 G5-4 3:00
Mt. Angel MS #2,,,,,,
Keizer Complex #8,,F2-4,F9-5,F19-3,F10-6,F16-3
"Leslie MS, Field 1",,E5-7,E7-6,G10-11,G3-11,
"Leslie MS, Field 2",,,,,,
"Leslie MS, Field 3",,F19-14,F2-15,F1-14,F5-12,
"Leslie MS, Field 4",,,,,,
Mission Field,,,,,,
"St. Paul HS, Varsity Field",,G10-12,E10-9,G3-12,E1-8,F4-17
Walker MS #3,,,G2-14,,,G9-14
Williams Field 3,,F13-1,,,,
Moon Field,,F15-11,,F10-9,F17-11,
Mt. Angel MS #4,,,F16-8,,F13-8,F12-7
Willamina HS JV Field,,,F7-18,F6-18,,
Mark Twain Elementary,,,E8-4,E9-4,E2-3,
Sheridan HS Softball Field,,E3-10,,,,
