WEEK 9,June 8,June 9,June 10,June 11,June 12,June 13
Briggs #1 (SW),,,,,,
"Cascade Complex, C4",,D5-2,,,D6-1,
Holland Youth Park #5,,,,,,
Turner City Field,,,,,,
"Geer Park, Field 1 (East)",,,,,,
"Geer Park, Field 2 (West)",,,,,,
"Sprague HS, JV Field",D1-7,,D4-7,,,
Buena Vista Elementary,,,,,,C5-3 12:30 C3-5 3:00
Shasta Ball Fields,,,,,,
Judson MS #1,,,,,,C1-4 12:30 C4-1 3:00
Crossler MS #2,B7-13,B12-14,B13-14,,,C2-6 3:00 C6-2 3:00
Crossler MS #1,,,,,,
"Cascade Complex, C2",B3-4,,B1-4,B3-5,,
Briggs #3 (NW),,A1-2,A3-4,A1-4,A2-3,
Holland Youth Park #2,A7-8,A6-9,B7-8,B1-8,A5-6,A8-9
Judson MS #2,A12-13,B9-11,A11-12,B9-10,B12-11,A7-10
Keizer Complex #5,B10-6,,A13-5,,B5-6,
Sheridan City Park,A11-14,A10-15,,A14-15,,
Walterville #2 (East),,,,,,
"Cascade Complex, C3",,,,,,
Holland Youth Park #1,E1-2,,G2-7,E2-1,,
"Silverton MS, Field S7",G1-6,H5-6,,H1-5,,
Williams Field 4,G5-3,H2-3,,,H6-2,
Keizer Complex #4,H1-4,,,H3-14,,
Mt. Angel MS #2,,,,,,
Keizer Complex #8,F2-3,F4-5,F3-6,F2-5,F12-4,
"Leslie MS, Field 1",G13-10,E5-7,E10-6,E7-5,,
"Leslie MS, Field 2",,,G9-11,,,
"Leslie MS, Field 3",F13-15,,F14-2,F17-13,F9-16,
"Leslie MS, Field 4",,,,,,
Mission Field,,,,,,
"St. Paul HS, Varsity Field",G8-12,E8-9,F19-17,E9-8,,
Walker MS #3,,,G4-14,,,
Williams Field 3,,F6-1,,,F7-1,
Moon Field,F7-10,F8-11,F15-9,F18-11,F14-10,
Mt. Angel MS #4,,,F19-8,,,
Willamina HS JV Field,,,F16-18,,,
Mark Twain Elementary,E3-4,,E4-3,,,
Sheridan HS Softball Field,E6-10,,,,,
